,BA_Math,BA_Informatica,BA_Physics_Astronomy,BA_AI,BA_NL,BA_EEA,BA_others,BAtoMA,MA_CS
2010,37.0,34.0,37.0,11.0,469.0,3.0,3.0,111.0,29.0
2011,50.0,41.0,38.0,14.0,520.0,5.0,2.0,114.0,43.0
2012,76.0,52.0,65.0,26.0,642.0,8.0,2.0,179.0,31.0
2013,70.0,79.0,63.0,12.0,643.0,6.0,3.0,165.0,41.0
2014,64.0,91.0,57.0,14.0,684.0,4.0,1.0,170.0,35.0
2015,96.0,110.0,83.0,22.0,919.0,3.0,7.0,225.0,46.0
2016,57.0,96.0,62.0,33.0,889.0,9.0,5.0,183.0,61.0
2017,82.0,120.0,65.0,33.0,961.0,11.0,3.0,229.0,50.0
2018,82.0,120.0,71.0,47.0,1020.0,14.0,6.0,248.0,78.0
2019,72.0,103.0,90.0,78.0,1046.0,6.0,4.0,234.0,70.0
2020,81.35750579833984,111.70050811767578,74.72174835205078,45.009220123291016,973.5501098632812,5.408396244049072,2.9883110523223877,243.23300170898438,68.34918212890625
2021,87.95049285888672,108.36627197265625,88.50961303710938,59.4913330078125,1018.8461303710938,2.6187376976013184,2.752730369567871,242.7062225341797,68.74513244628906
2022,63.37803268432617,109.37303924560547,89.15229797363281,53.613731384277344,1005.798583984375,8.90898323059082,2.803102970123291,244.53099060058594,69.1801986694336
2023,90.17047882080078,111.17439270019531,87.26497650146484,55.5070915222168,1008.4891357421875,7.259507656097412,2.1687369346618652,243.83889770507812,69.26629638671875
2024,81.06580352783203,113.33526611328125,87.67324829101562,54.21235656738281,1008.4055786132812,9.541383743286133,1.8757253885269165,242.3257598876953,69.28053283691406
